#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
116,Shot Online,"Jan 22, 2019",N/A,N/A (N/A/59%),"20,000 .. 50,000",00:00 (00:00),WEBZEN ONNET,WEBZEN
117,Dakar 18,"Sep 25, 2018",$29.99,N/A (N/A/59%),"20,000 .. 50,000",00:00 (00:00),Bigmoon Entertainment,"Bigmoon Entertainment, Ravenscourt"
118,Behold the Kickmen,"Jul 20, 2017",$3.99,N/A (N/A/58%),"0 .. 20,000",00:00 (00:00),Size Five Games,Size Five Games
119,Urban Trial Freestyle,"Sep 18, 2013",$6.99,N/A (N/A/58%),"100,000 .. 200,000",00:00 (00:00),Tate Multimedia,Tate Multimedia
120,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,"Feb 18, 2010",N/A,N/A (N/A/57%),"0 .. 20,000",00:00 (00:00),Eurocom,SEGA
121,Jet Car Stunts,"May 1, 2014",$2.99,N/A (N/A/57%),"20,000 .. 50,000",00:00 (00:00),GRIP Digital s.r.o.,bitComposer Games
122,Griefhelm,"Aug 20, 2020",$19.99,N/A (N/A/57%),"0 .. 20,000",00:00 (00:00),Johnny Dale Lonack,Thorrnet Publishing
123,Skater XL - The Ultimate Skateboarding Game,"Jul 28, 2020",$39.99,N/A (N/A/56%),"500,000 .. 1,000,000",12:11 (04:03),Easy Day Studios Pty Ltd,Easy Day Studios Pty Ltd
124,Dangerous Golf,"Jun 2, 2016",$19.99,N/A (N/A/54%),"100,000 .. 200,000",00:00 (00:00),Three Fields Entertainment,Three Fields Entertainment
125,Speedball 2 HD,"Dec 5, 2013",$9.99,N/A (N/A/53%),"50,000 .. 100,000",00:00 (00:00),"Bitmap Brothers, Vivid Games",Rebellion
126,Lords of Football,"Apr 5, 2013",$2.99,N/A (N/A/52%),"50,000 .. 100,000",00:00 (00:00),Geniaware Srl,Fish Eagle
127,Snow Moto Racing Freedom,"Apr 11, 2017",$12.99,N/A (N/A/50%),"0 .. 20,000",00:00 (00:00),Zordix AB,Zordix AB
128,Bush Hockey League,"Mar 28, 2017",$11.99,N/A (N/A/48%),"0 .. 20,000",00:00 (00:00),V7 Entertainment Inc.,V7 Entertainment Inc.
129,WWE 2K20,"Oct 21, 2019",$59.99,N/A (N/A/43%),"500,000 .. 1,000,000",00:00 (00:00),Visual Concepts,2K
130,Beijing 2008 - The Official Video Game of the Olympic Games,"Aug 14, 2008",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Eurocom,SEGA
131,Modding tools for Cross Racing Championship Extreme,"Nov 26, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Invictus Games Ltd.,Invictus Games Ltd.
132,A Buttload of Free Games,"Apr 10, 2020",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Del Nordlund, Patrick Flattery, Sebastian Scaini",Sebastian Scaini
133,RX Racing 2019 Pro,"Nov 4, 2020",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),CaRacing Studio,CaRacing Studio
134,Skyscraper Climb VR,"Mar 19, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Builder7,福州沉浸者网络科技有限公司
135,Lord Democrat Strikes Out!,"Mar 29, 2019",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Kevin Lund,K. Lund
136,AOS Manager,"Jul 14, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),GASF Studio,GASF Studio
137,Shadow Circuit,"Mar 20, 2017",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),WetWare / Games,WetWare / Games
138,Basketball Hero VR,"Jun 20, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Caleb Scott,Calebula Studios
139,Proton Ball,"Feb 18, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Exoception,Exoception
140,Brawlerz Arena,"May 27, 2017",$14.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Bail! Enemy Jet!,Bail! Enemy Jet!
141,RollerPlay,"Dec 3, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),YouVisio Productions Inc.,YouVisio Productions Inc.
142,箱庭小相撲,"Jun 27, 2020",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Shin Tomura,Shin Tomura
143,Aussie Sports VR 2016,"Mar 5, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Reload Labs,Reload Labs
144,Monster Truck Drive,"May 2, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Builder7,Ripknot Systems
145,Cross Country Express,"Apr 10, 2020",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Oddfellows Software,Oddfellows Software
146,The Tower Of TigerQiuQiu 2,"Mar 18, 2021",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),TigerQiuQiu,TigerQiuQiu
147,麻神消消乐,"May 15, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),MiaoXi Studio,MiaoXi Studio
148,Shelter in Place,"Nov 21, 2019",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Sheetal, Bibek",Paracosma Inc
